phrase	phrase_ipa	oronym	oronym_ipa	distance
the bill	ðəbɪɫ	the + bil	ðəbɪɫ	0.0000
the bill	ðəbɪɫ	the + beal	ðəbiɫ	0.0500
the bill	ðəbɪɫ	the + beale	ðəbiɫ	0.0500
won out of seats	wɑnaʊtəvsits	wan + out + of + seat's	wɑnaʊtəvsits	0.0000
won out of seats	wɑnaʊtəvsits	wan + out + of + seats	wɑnaʊtəvsits	0.0000
won out of seats	wɑnaʊtəvsits	wann + out + of + seat's	wɑnaʊtəvsits	0.0000
won out of seats	wɑnaʊtəvsits	wann + out + of + seats	wɑnaʊtəvsits	0.0000
won out of seats	wɑnaʊtəvsits	wan + out + of + heat's	wɑnaʊtəvhits	0.0303
rock band the Seeds	ɹɑkbændðəsidz	rock + banned + thus + eades	ɹɑkbændðəsidz	0.0000
rock band the Seeds	ɹɑkbændðəsidz	rock + banned + thus + eads	ɹɑkbændðəsidz	0.0000
rock band the Seeds	ɹɑkbændðəsidz	rock + banned + thus + eads'	ɹɑkbændðəsidz	0.0000
rock band the Seeds	ɹɑkbændðəsidz	rock + banned + thus + edes	ɹɑkbændðəsidz	0.0000
rock band the Seeds	ɹɑkbændðəsidz	rock + band + thus + eades	ɹɑkbændðəsidz	0.0000
to and afterwards	tuəndæftɝwɝdz	tue + and + afterwards	tuəndæftɝwɝdz	0.0000
to and afterwards	tuəndæftɝwɝdz	tu + and + afterwards	tuəndæftɝwɝdz	0.0000
to and afterwards	tuəndæftɝwɝdz	tue + und + afterwards	tuəndæftɝwɝdz	0.0000
to and afterwards	tuəndæftɝwɝdz	tu + und + afterwards	tuəndæftɝwɝdz	0.0000
to and afterwards	tuəndæftɝwɝdz	two + und + afterwards	tuəndæftɝwɝdz	0.0000
Road from the	ɹoʊdfɹəmðə	rhoad + frum + the	ɹoʊdfɹəmðə	0.0000
Road from the	ɹoʊdfɹəmðə	rode + from + the	ɹoʊdfɹəmðə	0.0000
Road from the	ɹoʊdfɹəmðə	rhode + frum + the	ɹoʊdfɹəmðə	0.0000
Road from the	ɹoʊdfɹəmðə	rhoad + from + the	ɹoʊdfɹəmðə	0.0000
Road from the	ɹoʊdfɹəmðə	rode + frum + the	ɹoʊdfɹəmðə	0.0000
and meters	əndmitɝz	and + metres	əndmitɝz	0.0000
and meters	əndmitɝz	und + meters	əndmitɝz	0.0000
and meters	əndmitɝz	und + metres	əndmitɝz	0.0000
and meters	əndmitɝz	and + meat + ers	əndmitɝz	0.0000
season to pursue	sizəntupɝsu	c.s + unto + pursue	sizəntupɝsu	0.0000
season to pursue	sizəntupɝsu	c's + unto + pursue	sizəntupɝsu	0.0000
season to pursue	sizəntupɝsu	c.'s + unto + pursue	sizəntupɝsu	0.0000
season to pursue	sizəntupɝsu	cees + unto + pursue	sizəntupɝsu	0.0000
season to pursue	sizəntupɝsu	sea's + unto + pursue	sizəntupɝsu	0.0000
Road World Championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	rode + whirled + championship's	ɹoʊdwɝɫdtʃæmpiənʃɪps	0.0000
Road World Championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	rode + whirled + championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	0.0000
Road World Championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	rode + world + championship's	ɹoʊdwɝɫdtʃæmpiənʃɪps	0.0000
Road World Championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	rode + world + championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	0.0000
Road World Championships	ɹoʊdwɝɫdtʃæmpiənʃɪps	rode + whirled + champion + ship's	ɹoʊdwɝɫdtʃæmpiənʃɪps	0.0000
also known for	ɔɫsoʊnoʊnfɹɝ	all + sew + known + for	ɔɫsoʊnoʊnfɹɝ	0.0000
featured on Jubilee	fitʃɝdɔndʒubəɫi	feature + dawn + jubilee	fitʃɝdɔndʒubəɫi	0.0000
featured on Jubilee	fitʃɝdɔndʒubəɫi	featured + aune + jubilee	fitʃɝdɔndʒubəɫi	0.0000
featured on Jubilee	fitʃɝdɔndʒubəɫi	feature + daun + jubilee	fitʃɝdɔndʒubəɫi	0.0000
featured on Jubilee	fitʃɝdɔndʒubəɫi	featured + on + juba + lea	fitʃɝdɔndʒubəɫi	0.0000
direct investments in oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	direct + investment's + inn + oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	0.0000
direct investments in oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	direct + investment + syn + oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	0.0000
direct investments in oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	direct + investment's + in + oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	0.0000
direct investments in oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	direct + investment's + in. + oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	0.0000
direct investments in oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	direct + investment + sin + oil	dɪɹɛktɪnvɛsməntsɪnɔɪɫ	0.0000
by the Iowa Department	baɪðəaɪəwədɪpɑɹtmənt	bi + the + iowa + department	baɪðəaɪəwədɪpɑɹtmənt	0.0000
by the Iowa Department	baɪðəaɪəwədɪpɑɹtmənt	bae + the + iowa + department	baɪðəaɪəwədɪpɑɹtmənt	0.0000
by the Iowa Department	baɪðəaɪəwədɪpɑɹtmənt	buy + the + iowa + department	baɪðəaɪəwədɪpɑɹtmənt	0.0000
by the Iowa Department	baɪðəaɪəwədɪpɑɹtmənt	bye + the + iowa + department	baɪðəaɪəwədɪpɑɹtmənt	0.0000
as deprivation	æzdɛpɹəveɪʃən	as + depravation	æzdɛpɹəveɪʃən	0.0000
as deprivation	æzdɛpɹəveɪʃən	as + degradation	æzdɛɡɹədeɪʃən	0.1192
with new	wɪθnu	with + gnu	wɪθnu	0.0000
with new	wɪθnu	with + knew	wɪθnu	0.0000
with new	wɪθnu	with + nu	wɪθnu	0.0000
with new	wɪθnu	withe + gnu	wɪθnu	0.0000
Kiel Gunner Trey Kiel	kiɫɡənɝtɹeɪkiɫ	keel + gunnar + tray + keal	kiɫɡənɝtɹeɪkiɫ	0.0000
Kiel Gunner Trey Kiel	kiɫɡənɝtɹeɪkiɫ	keel + gunnar + tray + keel	kiɫɡənɝtɹeɪkiɫ	0.0000
Kiel Gunner Trey Kiel	kiɫɡənɝtɹeɪkiɫ	keel + gunnar + tray + keele	kiɫɡənɝtɹeɪkiɫ	0.0000
Kiel Gunner Trey Kiel	kiɫɡənɝtɹeɪkiɫ	keel + gunnar + tray + keil	kiɫɡənɝtɹeɪkiɫ	0.0000
Kiel Gunner Trey Kiel	kiɫɡənɝtɹeɪkiɫ	keel + gunnar + tray + kheel	kiɫɡənɝtɹeɪkiɫ	0.0000
typically two coordinate and	tɪpɪkɫitukoʊɔɹdəneɪtənd	typically + tu + coordinate + and	tɪpɪkɫitukoʊɔɹdəneɪtənd	0.0000
typically two coordinate and	tɪpɪkɫitukoʊɔɹdəneɪtənd	typically + tu + coordinate + und	tɪpɪkɫitukoʊɔɹdəneɪtənd	0.0000
typically two coordinate and	tɪpɪkɫitukoʊɔɹdəneɪtənd	typically + to + coordinate + and	tɪpɪkɫitukoʊɔɹdəneɪtənd	0.0000
typically two coordinate and	tɪpɪkɫitukoʊɔɹdəneɪtənd	typically + to + coordinate + und	tɪpɪkɫitukoʊɔɹdəneɪtənd	0.0000
the Wallenberg Neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	the + wallen + berg + neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	0.0000
the Wallenberg Neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	the + wallen + burg + neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	0.0000
the Wallenberg Neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	the + wallen + burge + neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	0.0000
the Wallenberg Neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	the + wallen + bergh + neuroscience	ðəwɔɫənbɝɡnjʊɹoʊsaɪəns	0.0000
grows to	ɡɹoʊztu	grows + tew	ɡɹoʊztu	0.0000
grows to	ɡɹoʊztu	grows + thuy	ɡɹoʊztu	0.0000
grows to	ɡɹoʊztu	grows + too	ɡɹoʊztu	0.0000
grows to	ɡɹoʊztu	grows + tu	ɡɹoʊztu	0.0000
for migrant Poles	fɹɝmaɪɡɹəntpoʊɫz	for + migrant + poehl's	fɹɝmaɪɡɹəntpoʊɫz	0.0000
for migrant Poles	fɹɝmaɪɡɹəntpoʊɫz	for + migrant + pohl's	fɹɝmaɪɡɹəntpoʊɫz	0.0000
for migrant Poles	fɹɝmaɪɡɹəntpoʊɫz	for + migrant + poll's	fɹɝmaɪɡɹəntpoʊɫz	0.0000
for migrant Poles	fɹɝmaɪɡɹəntpoʊɫz	for + migrant + polls	fɹɝmaɪɡɹəntpoʊɫz	0.0000
Since then he	sɪnsðɛnhi	since + then + hee	sɪnsðɛnhi	0.0000
Me is the Japanese	miɪzðədʒæpəniz	mee + is + the + japanese	miɪzðədʒæpəniz	0.0000
Me is the Japanese	miɪzðədʒæpəniz	mi + is + the + japanese	miɪzðədʒæpəniz	0.0000
Me is the Japanese	miɪzðədʒæpəniz	mea + is + the + japanese	miɪzðədʒæpəniz	0.0000
architecture and infrastructure	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝ	architecture + und + infrastructure	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝ	0.0000
architecture and infrastructure	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝ	architecture + and + infra + structure	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝ	0.0000
architecture and infrastructure	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝ	architecture + and + infrastructural	ɑɹkətɛktʃɝəndɪnfɹəstɹəktʃɝəɫ	0.0769
with High Life	wɪθhaɪɫaɪf	with + hy + life	wɪθhaɪɫaɪf	0.0000
with High Life	wɪθhaɪɫaɪf	with + hye + life	wɪθhaɪɫaɪf	0.0000
with High Life	wɪθhaɪɫaɪf	with + heye + life	wɪθhaɪɫaɪf	0.0000
with High Life	wɪθhaɪɫaɪf	withe + heye + life	wɪθhaɪɫaɪf	0.0000
been recorded in	bənɹəkɔɹdɪdɪn	bunn + recorded + in	bənɹəkɔɹdɪdɪn	0.0000
been recorded in	bənɹəkɔɹdɪdɪn	bunn + recorded + in.	bənɹəkɔɹdɪdɪn	0.0000
been recorded in	bənɹəkɔɹdɪdɪn	bunn + recorded + inn	bənɹəkɔɹdɪdɪn	0.0000
been recorded in	bənɹəkɔɹdɪdɪn	been + recorded + in.	bənɹəkɔɹdɪdɪn	0.0000
the tournament in In	ðətʊɹnəməntɪnɪn	the + tournament + in. + in	ðətʊɹnəməntɪnɪn	0.0000
the tournament in In	ðətʊɹnəməntɪnɪn	the + tournament + in. + in.	ðətʊɹnəməntɪnɪn	0.0000
the tournament in In	ðətʊɹnəməntɪnɪn	the + tournament + in. + inn	ðətʊɹnəməntɪnɪn	0.0000
the tournament in In	ðətʊɹnəməntɪnɪn	the + tournament + in + in.	ðətʊɹnəməntɪnɪn	0.0000
working on	wɝkɪŋɔn	were + kingon	wɝkɪŋɔn	0.0000
working on	wɝkɪŋɔn	working + aune	wɝkɪŋɔn	0.0000
working on	wɝkɪŋɔn	werking + aune	wɝkɪŋɔn	0.0000
working on	wɝkɪŋɔn	werking + on	wɝkɪŋɔn	0.0000
fall On May	fɑɫɔnmeɪ	faal + aune + mae	fɑɫɔnmeɪ	0.0000
fall On May	fɑɫɔnmeɪ	faal + aune + may	fɑɫɔnmeɪ	0.0000
fall On May	fɑɫɔnmeɪ	faal + aune + maye	fɑɫɔnmeɪ	0.0000
fall On May	fɑɫɔnmeɪ	faal + aune + mei	fɑɫɔnmeɪ	0.0000
fall On May	fɑɫɔnmeɪ	faal + aune + mey	fɑɫɔnmeɪ	0.0000
is based on the	ɪzbeɪstɔnðə	is + based + aune + the	ɪzbeɪstɔnðə	0.0000
is based on the	ɪzbeɪstɔnðə	is + baste + on + the	ɪzbeɪstɔnðə	0.0000
is based on the	ɪzbeɪstɔnðə	is + baste + aune + the	ɪzbeɪstɔnðə	0.0000
Board of Regents for	bɔɹdəvɹidʒəntsfɹɝ	board + of + reagents + for	bɔɹdəvɹidʒəntsfɹɝ	0.0000
project Its	pɹɑdʒɛktɪts	project + it's	pɹɑdʒɛktɪts	0.0000
project Its	pɹɑdʒɛktɪts	project + eats	pɹɑdʒɛktits	0.0250
project Its	pɹɑdʒɛktɪts	project + atz	pɹɑdʒɛktæts	0.0400
project Its	pɹɑdʒɛktɪts	placek + tits	pɫɑtʃɛktɪts	0.0833
was admitted to	wɑzədmɪtɪdtu	wah's + admitted + tew	wɑzədmɪtɪdtu	0.0000
was admitted to	wɑzədmɪtɪdtu	wah's + admitted + thuy	wɑzədmɪtɪdtu	0.0000
was admitted to	wɑzədmɪtɪdtu	wah's + admitted + to	wɑzədmɪtɪdtu	0.0000
was admitted to	wɑzədmɪtɪdtu	wah's + admitted + too	wɑzədmɪtɪdtu	0.0000
was admitted to	wɑzədmɪtɪdtu	wah's + admitted + tu	wɑzədmɪtɪdtu	0.0000
singer Tara Lyn	sɪŋɝtɑɹəɫɪn	singer + tara + lin	sɪŋɝtɑɹəɫɪn	0.0000
singer Tara Lyn	sɪŋɝtɑɹəɫɪn	singer + tara + linh	sɪŋɝtɑɹəɫɪn	0.0000
singer Tara Lyn	sɪŋɝtɑɹəɫɪn	singer + tara + linn	sɪŋɝtɑɹəɫɪn	0.0000
singer Tara Lyn	sɪŋɝtɑɹəɫɪn	singer + tara + linne	sɪŋɝtɑɹəɫɪn	0.0000
commercially in the and	kəmɝʃəɫiɪnðəənd	commercially + in + the + und	kəmɝʃəɫiɪnðəənd	0.0000
commercially in the and	kəmɝʃəɫiɪnðəənd	commercially + inn + the + and	kəmɝʃəɫiɪnðəənd	0.0000
commercially in the and	kəmɝʃəɫiɪnðəənd	commercially + inn + the + und	kəmɝʃəɫiɪnðəənd	0.0000
commercially in the and	kəmɝʃəɫiɪnðəənd	commercially + in. + the + and	kəmɝʃəɫiɪnðəənd	0.0000
second Baronet in	sɛkəndbɛɹənɛtɪn	second + baronet + in.	sɛkəndbɛɹənɛtɪn	0.0000
second Baronet in	sɛkəndbɛɹənɛtɪn	second + baronet + inn	sɛkəndbɛɹənɛtɪn	0.0000
second Baronet in	sɛkəndbɛɹənɛtɪn	sec + und + baronet + in	sɛkəndbɛɹənɛtɪn	0.0000
second Baronet in	sɛkəndbɛɹənɛtɪn	sec + und + baronet + in.	sɛkəndbɛɹənɛtɪn	0.0000
Charles Wentworth	tʃɑɹɫzwɛntwɝθ	charles' + wentworth	tʃɑɹɫzwɛntwɝθ	0.0000
Charles Wentworth	tʃɑɹɫzwɛntwɝθ	charls + wentworth	tʃɑɹɫzwɛntwɝθ	0.0000
Charles Wentworth	tʃɑɹɫzwɛntwɝθ	charls + wendt + werth	tʃɑɹɫzwɛntwɝθ	0.0000
Charles Wentworth	tʃɑɹɫzwɛntwɝθ	charls + wendt + wirth	tʃɑɹɫzwɛntwɝθ	0.0000
terrestrial television channels	tɝɛstɹiəɫtɛɫəvɪʒəntʃænəɫz	terrestrial + television + channel's	tɝɛstɹiəɫtɛɫəvɪʒəntʃænəɫz	0.0000
terrestrial television channels	tɝɛstɹiəɫtɛɫəvɪʒəntʃænəɫz	terrestrial + television + canales	tɝɛstɹiəɫtɛɫəvɪʒənkænəɫz	0.0278
is typically two	ɪztɪpɪkɫitu	is + typically + tew	ɪztɪpɪkɫitu	0.0000
is typically two	ɪztɪpɪkɫitu	is + typically + thuy	ɪztɪpɪkɫitu	0.0000
is typically two	ɪztɪpɪkɫitu	is + typically + to	ɪztɪpɪkɫitu	0.0000
is typically two	ɪztɪpɪkɫitu	is + typically + too	ɪztɪpɪkɫitu	0.0000
is typically two	ɪztɪpɪkɫitu	is + typically + tu	ɪztɪpɪkɫitu	0.0000
as Hampton	æzhæmptən	as + hamp + ton	æzhæmptən	0.0000
as Hampton	æzhæmptən	as + hamp + tonne	æzhæmptən	0.0000
as Hampton	æzhæmptən	as + hampe + ton	æzhæmptən	0.0000
as Hampton	æzhæmptən	as + hampe + tonne	æzhæmptən	0.0000
it appeared in	ɪtəpɪɹdɪn	it + appear + din	ɪtəpɪɹdɪn	0.0000
it appeared in	ɪtəpɪɹdɪn	it + appear + dinh	ɪtəpɪɹdɪn	0.0000
it appeared in	ɪtəpɪɹdɪn	it + appeared + in.	ɪtəpɪɹdɪn	0.0000
it appeared in	ɪtəpɪɹdɪn	it + appeared + inn	ɪtəpɪɹdɪn	0.0000
is community	ɪzkəmjunəti	is + cum + unity	ɪzkəmjunəti	0.0000
is community	ɪzkəmjunəti	is + come + unity	ɪzkəmjunəti	0.0000
is community	ɪzkəmjunəti	is + kumm + unity	ɪzkəmjunəti	0.0000
is community	ɪzkəmjunəti	is + cum + you + nutty	ɪzkəmjunəti	0.0000
Skippy Skinner	skɪpiskɪnɝ	skippy + scanner	skɪpiskænɝ	0.0400
Skippy Skinner	skɪpiskɪnɝ	skippy + skimmer	skɪpiskɪmɝ	0.0500
Skippy Skinner	skɪpiskɪnɝ	skipper + skinner	skɪpɝskɪnɝ	0.0714
Skippy Skinner	skɪpiskɪnɝ	skippy + schemer	skɪpiskimɝ	0.0750
an earthquake with	ænɝθkweɪkwɪθ	ane + earthquake + with	ænɝθkweɪkwɪθ	0.0000
an earthquake with	ænɝθkweɪkwɪθ	ane + earthquake + withe	ænɝθkweɪkwɪθ	0.0000
an earthquake with	ænɝθkweɪkwɪθ	ahn + earthquake + with	ænɝθkweɪkwɪθ	0.0000
an earthquake with	ænɝθkweɪkwɪθ	ahn + earthquake + withe	ænɝθkweɪkwɪθ	0.0000
personal direct	pɝsɪnəɫdɪɹɛkt	persyn + ul + direct	pɝsɪnəɫdɪɹɛkt	0.0000
personal direct	pɝsɪnəɫdɪɹɛkt	persyn + uhl + direct	pɝsɪnəɫdɪɹɛkt	0.0000
personal direct	pɝsɪnəɫdɪɹɛkt	per + syn + uhl + direct	pɝsɪnəɫdɪɹɛkt	0.0000
personal direct	pɝsɪnəɫdɪɹɛkt	per + syn + ul + direct	pɝsɪnəɫdɪɹɛkt	0.0000
is feature film based	ɪzfitʃɝfɪɫmbeɪst	is + feature + film + baste	ɪzfitʃɝfɪɫmbeɪst	0.0000
is feature film based	ɪzfitʃɝfɪɫmbeɪst	is + feature + film + baits	ɪzfitʃɝfɪɫmbeɪts	0.0444
is feature film based	ɪzfitʃɝfɪɫmbeɪst	is + feature + film + baked	ɪzfitʃɝfɪɫmbeɪkt	0.0444
Alonso Puerto	əɫɑnsoʊpɔɹtə	alonso + porta	əɫɑnsoʊpɔɹtə	0.0000
Alonso Puerto	əɫɑnsoʊpɔɹtə	alon + so + porta	əɫɑnsoʊpɔɹtə	0.0000
Alonso Puerto	əɫɑnsoʊpɔɹtə	alon + so + puerto	əɫɑnsoʊpɔɹtə	0.0000
Alonso Puerto	əɫɑnsoʊpɔɹtə	alon + sew + porta	əɫɑnsoʊpɔɹtə	0.0000
from to highly popular	fɹəmtuhaɪɫipɑpjəɫɝ	from + tue + highly + popular	fɹəmtuhaɪɫipɑpjəɫɝ	0.0000
from to highly popular	fɹəmtuhaɪɫipɑpjəɫɝ	from + tue + highley + popular	fɹəmtuhaɪɫipɑpjəɫɝ	0.0000
from to highly popular	fɹəmtuhaɪɫipɑpjəɫɝ	from + tue + haile + popular	fɹəmtuhaɪɫipɑpjəɫɝ	0.0000
the Twelve Apostles from	ðətwɛɫvəpɑsəɫzfɹəm	the + twelve + apostles + frum	ðətwɛɫvəpɑsəɫzfɹəm	0.0000
Mexican and American businessman	mɛksəkənəndəmɛɹɪkənbɪznəsmæn	mexican + und + american + businessman	mɛksəkənəndəmɛɹɪkənbɪznəsmæn	0.0000
brain injury in	bɹeɪnɪndʒɝiɪn	brain + injury + in.	bɹeɪnɪndʒɝiɪn	0.0000
brain injury in	bɹeɪnɪndʒɝiɪn	brain + injury + inn	bɹeɪnɪndʒɝiɪn	0.0000
brain injury in	bɹeɪnɪndʒɝiɪn	brain + inge + arraign	bɹeɪnɪndʒɝeɪn	0.0333
brain injury in	bɹeɪnɪndʒɝiɪn	brain + injure + aine	bɹeɪnɪndʒɝeɪn	0.0333
Shein in It lies	ʃaɪnɪnɪtɫaɪz	shine + in + it'll + ais	ʃaɪnɪnɪtɫaɪz	0.0000
Shein in It lies	ʃaɪnɪnɪtɫaɪz	shine + in + it'll + ayes	ʃaɪnɪnɪtɫaɪz	0.0000
Shein in It lies	ʃaɪnɪnɪtɫaɪz	shine + in + it'll + eis	ʃaɪnɪnɪtɫaɪz	0.0000
Shein in It lies	ʃaɪnɪnɪtɫaɪz	shine + in + it'll + eye's	ʃaɪnɪnɪtɫaɪz	0.0000
Shein in It lies	ʃaɪnɪnɪtɫaɪz	shine + in + it'll + eyes	ʃaɪnɪnɪtɫaɪz	0.0000
been published based	bənpəbɫɪʃtbeɪst	bun + published + based	bənpəbɫɪʃtbeɪst	0.0000
been published based	bənpəbɫɪʃtbeɪst	bun + published + baste	bənpəbɫɪʃtbeɪst	0.0000
been published based	bənpəbɫɪʃtbeɪst	been + published + baste	bənpəbɫɪʃtbeɪst	0.0000
been published based	bənpəbɫɪʃtbeɪst	bunn + published + based	bənpəbɫɪʃtbeɪst	0.0000
Europe to	jʊɹəptu	europe + tew	jʊɹəptu	0.0000
Europe to	jʊɹəptu	europe + thuy	jʊɹəptu	0.0000
Europe to	jʊɹəptu	europe + too	jʊɹəptu	0.0000
Europe to	jʊɹəptu	europe + tu	jʊɹəptu	0.0000
and renamed her Union	əndɹineɪmdhɝjunjən	and + renamed + hur + union	əndɹineɪmdhɝjunjən	0.0000
and renamed her Union	əndɹineɪmdhɝjunjən	and + renamed + her + runion	əndɹineɪmdhɝɹunjən	0.0185
and renamed her Union	əndɹineɪmdhɝjunjən	and + renamed + her + juenemann	əndɹineɪmdhɝjunmən	0.0417
born August in	bɔɹnɑɡəstɪn	boer + nah + gustin	bɔɹnɑɡəstɪn	0.0000
born August in	bɔɹnɑɡəstɪn	boer + naw + gustin	bɔɹnɑɡəstɪn	0.0000
born August in	bɔɹnɑɡəstɪn	baur + naw + gustin	bɔɹnɑɡəstɪn	0.0000
born August in	bɔɹnɑɡəstɪn	boer + na + gustin	bɔɹnɑɡəstɪn	0.0000
born August in	bɔɹnɑɡəstɪn	baur + na + gustin	bɔɹnɑɡəstɪn	0.0000
the prefecture level city	ðəpɹifɛktʃɝɫɛvəɫsɪti	the + prefecture + level + citi	ðəpɹifɛktʃɝɫɛvəɫsɪti	0.0000
the prefecture level city	ðəpɹifɛktʃɝɫɛvəɫsɪti	the + prefecture + level + cissie	ðəpɹifɛktʃɝɫɛvəɫsɪsi	0.0175
the prefecture level city	ðəpɹifɛktʃɝɫɛvəɫsɪti	the + prefecture + level + cc	ðəpɹifɛktʃɝɫɛvəɫsisi	0.0307
the prefecture level city	ðəpɹifɛktʃɝɫɛvəɫsɪti	the + prefecture + level + cd	ðəpɹifɛktʃɝɫɛvəɫsidi	0.0307
as wheelwright with	æzhwiɫɹaɪtwɪθ	as + wheelwright + withe	æzhwiɫɹaɪtwɪθ	0.0000
as wheelwright with	æzhwiɫɹaɪtwɪθ	as + wheelwright + weith	æzhwiɫɹaɪtwiθ	0.0208
as wheelwright with	æzhwiɫɹaɪtwɪθ	as + wheelwright + wis	æzhwiɫɹaɪtwɪs	0.0278
as wheelwright with	æzhwiɫɹaɪtwɪθ	as + wheelwright + wisch	æzhwiɫɹaɪtwɪʃ	0.0278
of the Hong Kong	əvðəhɔŋkɔŋ	of + the + hong-kong	əvðəhɔŋkɔŋ	0.0000
of the Hong Kong	əvðəhɔŋkɔŋ	of + the + hongkong	əvðəhɔŋkɔŋ	0.0000
of the Hong Kong	əvðəhɔŋkɔŋ	of + the + hong + cong	əvðəhɔŋkɔŋ	0.0000
for is native flora	fɹɝɪzneɪtɪvfɫɔɹə	frey's + native + flora	fɹeɪzneɪtɪvfɫɔɹə	0.0312
for is native flora	fɹɝɪzneɪtɪvfɫɔɹə	fraze + native + flora	fɹeɪzneɪtɪvfɫɔɹə	0.0312
for is native flora	fɹɝɪzneɪtɪvfɫɔɹə	frase + native + flora	fɹeɪzneɪtɪvfɫɔɹə	0.0312
for is native flora	fɹɝɪzneɪtɪvfɫɔɹə	phrase + native + flora	fɹeɪzneɪtɪvfɫɔɹə	0.0312
Duan Qi state although	dweɪnkisteɪtɔɫðoʊ	duan + kee + state + although	dweɪnkisteɪtɔɫðoʊ	0.0000
Duan Qi state although	dweɪnkisteɪtɔɫðoʊ	duan + kiess + tait + although	dweɪnkisteɪtɔɫðoʊ	0.0000
Duan Qi state although	dweɪnkisteɪtɔɫðoʊ	duan + kiess + taite + although	dweɪnkisteɪtɔɫðoʊ	0.0000
Duan Qi state although	dweɪnkisteɪtɔɫðoʊ	duan + kiess + taitt + although	dweɪnkisteɪtɔɫðoʊ	0.0000
Duan Qi state although	dweɪnkisteɪtɔɫðoʊ	duan + kiess + tate + although	dweɪnkisteɪtɔɫðoʊ	0.0000
pension fund had citing	pɛnʃənfəndhædsaɪtɪŋ	pension + pfund + hadd + citing	pɛnʃənfəndhædsaɪtɪŋ	0.0000
pension fund had citing	pɛnʃənfəndhædsaɪtɪŋ	pension + pfund + hadd + sighting	pɛnʃənfəndhædsaɪtɪŋ	0.0000
pension fund had citing	pɛnʃənfəndhædsaɪtɪŋ	pension + pfund + hadd + siting	pɛnʃənfəndhædsaɪtɪŋ	0.0000
pension fund had citing	pɛnʃənfəndhædsaɪtɪŋ	pension + fund + hadd + citing	pɛnʃənfəndhædsaɪtɪŋ	0.0000
pension fund had citing	pɛnʃənfəndhædsaɪtɪŋ	pension + fund + hadd + sighting	pɛnʃənfəndhædsaɪtɪŋ	0.0000
the Skippy name	ðəskɪpineɪm	the + skippy + dame	ðəskɪpideɪm	0.0303
the Skippy name	ðəskɪpineɪm	the + skippy + knabe	ðəskɪpineɪb	0.0303
the Skippy name	ðəskɪpineɪm	the + skippy + knave	ðəskɪpineɪv	0.0455
the Skippy name	ðəskɪpineɪm	the + skippy + lame	ðəskɪpiɫeɪm	0.0455
and was influenced by	əndwɑzɪnfɫuənstbaɪ	and + waas + influenced + bae	əndwɑzɪnfɫuənstbaɪ	0.0000
and was influenced by	əndwɑzɪnfɫuənstbaɪ	and + waas + influenced + bi	əndwɑzɪnfɫuənstbaɪ	0.0000
and was influenced by	əndwɑzɪnfɫuənstbaɪ	and + waas + influenced + buy	əndwɑzɪnfɫuənstbaɪ	0.0000
and was influenced by	əndwɑzɪnfɫuənstbaɪ	and + waas + influenced + by	əndwɑzɪnfɫuənstbaɪ	0.0000
and was influenced by	əndwɑzɪnfɫuənstbaɪ	and + waas + influenced + bye	əndwɑzɪnfɫuənstbaɪ	0.0000
The Cycle Is	ðəsaɪkəɫɪz	thus + aichele + is	ðəsaɪkəɫɪz	0.0000
The Cycle Is	ðəsaɪkəɫɪz	the + psi + kull + is	ðəsaɪkəɫɪz	0.0000
The Cycle Is	ðəsaɪkəɫɪz	the + psi + cull + is	ðəsaɪkəɫɪz	0.0000
The Cycle Is	ðəsaɪkəɫɪz	the + psi + kuhl + is	ðəsaɪkəɫɪz	0.0000
Burns businessman Canadian rancher	bɝnzbɪznəsmænkəneɪdiənɹæntʃɝ	berns + businessman + canadian + rancher	bɝnzbɪznəsmænkəneɪdiənɹæntʃɝ	0.0000
